number,opened_at,short_description,description,priority,category,urgency,state,resolved_at,closed_at,caller,assignment_group,assigned_to,impact,location,sla_due,knowledge_match
INC100100,2025-08-04 18:25:09,Email not syncing,Email not syncing. No recent changes reported. Related to recent configuration change. Issue persists after reboot.,Moderate,Hardware,Medium,On Hold,,,grace,Security,,Low,Pune,2025-08-05 18:25:09,KB-3102
INC100101,2025-08-13 08:14:04,Build pipeline failing,Build pipeline failing. Requires admin privileges to fix. Blocking deployment to production. Happening for multiple users.,Critical,Network,Low,Open,,,frank,Applications,tech2,Low,Bengaluru,2025-08-15 08:14:04,KB-4520
INC100102,2025-08-07 17:34:24,New software install request,New software install request. Happening for multiple users.,High,Other,High,Resolved,2025-08-10 04:34:24,,diana,Service Desk,tech2,Medium,Gurugram,2025-08-09 17:34:24,
INC100103,2025-07-31 01:05:54,API rate limit exceeded,API rate limit exceeded. Happens only on corporate network. Occurs intermittently.,High,Software,Low,In Progress,,,frank,Security,tech3,Low,Pune,2025-08-02 01:05:54,KB-3102
INC100104,2025-07-17 03:12:20,Kubernetes pod restart loop,Kubernetes pod restart loop. Started after latest patch. Compliance risk if not resolved quickly.,Moderate,Security,Medium,In Progress,,,charlie,Applications,tech2,Medium,Chennai,2025-07-17 07:12:20,KB-3102
INC100105,2025-08-09 03:34:28,Account locked after attempts,Account locked after attempts. Happening for multiple users. Requested escalation to L3.,High,Other,Medium,In Progress,,,grace,Systems,,High,Remote,2025-08-11 03:34:28,KB-3102
INC100106,2025-08-01 23:20:10,Disk space running low,Disk space running low. Happening for multiple users. Blocking deployment to production.,Low,Hardware,Medium,Open,,,bob,Network,tech2,Medium,Pune,2025-08-02 03:20:10,
INC100107,2025-07-15 12:18:58,Phone system down,Phone system down. Related to recent configuration change.,Moderate,Network,Low,In Progress,,,frank,Security,tech2,Low,Hyderabad,2025-07-15 20:18:58,KB-1001
INC100108,2025-07-09 07:44:20,High CPU on server,High CPU on server. Logs attached for review. Possible DNS resolution issue.,Moderate,Access,Medium,Closed,2025-07-09 23:44:20,2025-07-10 16:44:20,harry,Network,,High,Chennai,2025-07-11 07:44:20,KB-2044
INC100109,2025-08-20 16:35:05,High CPU on server,High CPU on server. No recent changes reported.,Moderate,Other,Low,Closed,2025-08-22 09:35:05,2025-08-24 04:35:05,eve,Systems,tech1,Low,Remote,2025-08-21 00:35:05,KB-3102
INC100110,2025-08-01 18:17:28,Laptop won't boot,Laptop won't boot. No recent changes reported. Requested escalation to L3.,High,Software,Low,Open,,,harry,Applications,tech1,Low,Chennai,2025-08-01 22:17:28,KB-3102
INC100111,2025-07-27 09:26:15,Jira webhook failing,Jira webhook failing. Started after latest patch. Blocking deployment to production. Requires admin privileges to fix.,Low,Security,Low,In Progress,,,bob,Security,tech3,Low,Gurugram,2025-07-28 09:26:15,KB-2044
INC100112,2025-08-19 16:26:43,SSL cert expired,SSL cert expired. Happening for multiple users. Occurs intermittently. Blocking deployment to production.,Low,Security,Medium,Open,,,eve,Network,tech1,Medium,Remote,2025-08-20 00:26:43,KB-3102
INC100113,2025-08-02 06:06:27,Two-factor authentication issue,Two-factor authentication issue. Possible DNS resolution issue.,Low,Network,Low,Open,,,bob,Applications,tech1,Low,Gurugram,2025-08-02 14:06:27,KB-2044
INC100114,2025-08-09 01:01:37,Email not syncing,Email not syncing. Happens only on corporate network.,Moderate,Network,Low,Resolved,2025-08-09 07:01:37,,diana,Applications,tech3,Low,Remote,2025-08-09 05:01:37,KB-4520
INC100115,2025-08-20 05:18:15,New software install request,New software install request. Started after latest patch. Happening for multiple users.,Moderate,Network,Medium,In Progress,,,charlie,Security,tech3,Medium,Pune,2025-08-20 13:18:15,KB-3102
INC100116,2025-08-06 12:21:29,Access denied to shared drive,Access denied to shared drive. Related to recent configuration change. Occurs intermittently.,High,Network,Low,Resolved,2025-08-08 09:21:29,,frank,Network,tech3,High,Hyderabad,2025-08-08 12:21:29,KB-2044
INC100117,2025-07-14 21:40:55,Jira webhook failing,Jira webhook failing. Requires admin privileges to fix. Logs attached for review.,Critical,Access,Medium,Closed,2025-07-17 03:40:55,2025-07-17 19:40:55,charlie,Security,tech4,Medium,Pune,2025-07-15 21:40:55,KB-4520
INC100118,2025-07-09 04:33:00,VPN disconnects frequently,VPN disconnects frequently. Possible DNS resolution issue.,Critical,Access,Medium,Closed,2025-07-10 08:33:00,2025-07-11 22:33:00,harry,Applications,tech3,Medium,Gurugram,2025-07-09 08:33:00,KB-1001
INC100119,2025-07-28 23:36:54,Malware alert flagged,Malware alert flagged. No recent changes reported.,High,Network,Medium,Resolved,2025-07-30 22:36:54,,diana,Systems,tech4,Medium,Chennai,2025-07-30 23:36:54,
INC100120,2025-07-29 22:14:55,Password reset required,Password reset required. Requested escalation to L3. Requires admin privileges to fix.,Low,Security,Medium,Resolved,2025-07-30 14:14:55,,frank,Network,tech1,Low,Gurugram,2025-07-31 22:14:55,
INC100121,2025-07-10 00:26:53,Access denied to shared drive,Access denied to shared drive. Related to recent configuration change. Blocking deployment to production. Requires admin privileges to fix.,Critical,Network,High,Resolved,2025-07-12 19:26:53,,frank,Network,tech3,Low,Remote,2025-07-11 00:26:53,
INC100122,2025-07-24 09:27:04,Jira webhook failing,Jira webhook failing. Requested escalation to L3.,Moderate,Access,Medium,Resolved,2025-07-26 00:27:04,,frank,Service Desk,tech3,Low,Hyderabad,2025-07-24 13:27:04,
INC100123,2025-07-31 02:29:07,Phone system down,Phone system down. Customer-facing impact reported. Related to recent configuration change.,High,Security,Medium,On Hold,,,grace,Network,tech1,High,Gurugram,2025-07-31 06:29:07,KB-2044
INC100124,2025-07-08 23:36:41,Build pipeline failing,Build pipeline failing. User located in remote site. Happening for multiple users. Blocking deployment to production.,Moderate,Access,Medium,Resolved,2025-07-11 04:36:41,,diana,Applications,tech2,Low,Pune,2025-07-10 23:36:41,KB-3102
INC100125,2025-07-16 11:19:11,SAML login failing,SAML login failing. Logs attached for review. Tried clearing cache and cookies.,Moderate,Security,Medium,In Progress,,,eve,Applications,tech2,High,Hyderabad,2025-07-17 11:19:11,KB-2044
INC100126,2025-08-10 13:44:08,New software install request,New software install request. No recent changes reported.,Moderate,Network,Medium,On Hold,,,grace,Security,tech2,High,Hyderabad,2025-08-10 17:44:08,KB-3102
INC100127,2025-08-11 17:34:57,Printer offline,Printer offline. No recent changes reported.,Critical,Other,Low,In Progress,,,eve,Applications,tech2,High,Chennai,2025-08-12 01:34:57,KB-2044
INC100128,2025-07-10 12:41:37,SSL cert expired,SSL cert expired. User located in remote site. Occurs intermittently.,Moderate,Other,Medium,Open,,,charlie,Service Desk,tech4,High,Pune,2025-07-12 12:41:37,KB-4520
INC100129,2025-08-08 15:28:49,Build pipeline failing,Build pipeline failing. Tried clearing cache and cookies.,High,Network,Low,In Progress,,,alice,Network,tech3,High,Chennai,2025-08-10 15:28:49,KB-4520
INC100130,2025-07-17 02:36:59,SAML login failing,SAML login failing. Requires admin privileges to fix.,Low,Network,Low,Closed,2025-07-17 04:36:59,2025-07-18 00:36:59,eve,Security,tech4,Low,Pune,2025-07-17 10:36:59,
INC100131,2025-07-30 18:49:53,API rate limit exceeded,API rate limit exceeded. Customer-facing impact reported. Issue persists after reboot.,High,Network,Low,Open,,,frank,Systems,tech4,Low,Bengaluru,2025-07-31 02:49:53,
INC100132,2025-08-18 15:01:50,Malware alert flagged,Malware alert flagged. Occurs intermittently. Customer-facing impact reported. Blocking deployment to production.,Moderate,Access,Medium,On Hold,,,harry,Systems,tech1,High,Hyderabad,2025-08-20 15:01:50,KB-2044
INC100133,2025-07-29 18:01:56,Laptop won't boot,Laptop won't boot. Requested escalation to L3. Tried clearing cache and cookies.,Low,Network,Low,On Hold,,,alice,Service Desk,tech3,Medium,Bengaluru,2025-07-31 18:01:56,
INC100134,2025-08-21 21:02:39,SAML login failing,SAML login failing. Tried clearing cache and cookies.,Low,Network,Low,Resolved,2025-08-23 11:02:39,,charlie,Security,tech1,Medium,Remote,2025-08-22 21:02:39,KB-4520
INC100135,2025-08-11 03:22:04,Disk space running low,Disk space running low. Started after latest patch. Related to recent configuration change. Happens on Windows and macOS.,Moderate,Security,Medium,Resolved,2025-08-12 07:22:04,,frank,Service Desk,tech4,High,Chennai,2025-08-11 11:22:04,
INC100136,2025-08-03 02:48:07,High CPU on server,High CPU on server. User located in remote site. Started after latest patch. Happens on Windows and macOS.,High,Security,Medium,In Progress,,,alice,Security,tech1,Low,Pune,2025-08-05 02:48:07,
INC100137,2025-07-10 20:48:57,Jira webhook failing,Jira webhook failing. Logs attached for review.,Moderate,Network,Medium,Resolved,2025-07-12 23:48:57,,bob,Service Desk,tech3,Medium,Remote,2025-07-11 00:48:57,
INC100138,2025-07-10 23:45:02,Slow application performance,Slow application performance. Compliance risk if not resolved quickly.,Low,Access,High,Open,,,frank,Security,tech3,Medium,Pune,2025-07-11 03:45:02,
INC100139,2025-07-14 12:29:31,Access denied to shared drive,Access denied to shared drive. Tried clearing cache and cookies. Issue persists after reboot. Related to recent configuration change.,Moderate,Software,Medium,Cancelled,,2025-07-15 01:29:31,eve,Security,tech4,Medium,Gurugram,2025-07-16 12:29:31,KB-2044
INC100140,2025-07-20 01:55:12,S3 access denied,S3 access denied. Compliance risk if not resolved quickly. Issue persists after reboot. Tried clearing cache and cookies.,Moderate,Software,High,Closed,2025-07-23 22:55:12,2025-07-24 06:55:12,diana,Service Desk,,Low,Chennai,2025-07-22 01:55:12,
INC100141,2025-08-09 16:30:43,Blue screen error,Blue screen error. Logs attached for review. Happening for multiple users. Blocking deployment to production.,Moderate,Other,High,Open,,,eve,Network,tech4,Medium,Gurugram,2025-08-10 16:30:43,KB-2044
INC100142,2025-07-22 17:07:43,Two-factor authentication issue,Two-factor authentication issue. No recent changes reported.,Low,Security,Low,Open,,,charlie,Security,tech4,Medium,Chennai,2025-07-23 17:07:43,KB-4520
INC100143,2025-08-15 05:04:35,Slow application performance,Slow application performance. User located in remote site. Tried clearing cache and cookies. Related to recent configuration change.,Moderate,Access,Medium,Open,,,eve,Network,tech3,High,Gurugram,2025-08-17 05:04:35,KB-4520
INC100144,2025-08-04 02:50:02,Outlook crashes on launch,Outlook crashes on launch. Started after latest patch. Logs attached for review.,Moderate,Network,Medium,Open,,,alice,Systems,tech3,Low,Gurugram,2025-08-04 06:50:02,KB-1001
INC100145,2025-07-17 04:46:26,Printer offline,Printer offline. Possible DNS resolution issue. Issue persists after reboot.,Low,Other,Medium,On Hold,,,diana,Network,,Low,Pune,2025-07-17 12:46:26,
INC100146,2025-08-11 05:29:51,Malware alert flagged,Malware alert flagged. No recent changes reported. Requested escalation to L3.,High,Security,Low,In Progress,,,eve,Systems,tech2,Low,Pune,2025-08-13 05:29:51,KB-1001
INC100147,2025-08-16 00:53:48,VPN disconnects frequently,VPN disconnects frequently. Tried clearing cache and cookies. Blocking deployment to production. Issue persists after reboot.,Low,Network,Medium,Closed,2025-08-18 00:53:48,2025-08-18 21:53:48,eve,Applications,tech4,Low,Remote,2025-08-18 00:53:48,KB-3102
INC100148,2025-07-15 11:07:11,API rate limit exceeded,API rate limit exceeded. Requires admin privileges to fix. Happens only on corporate network. User located in remote site.,High,Security,Medium,Resolved,2025-07-18 03:07:11,,harry,Security,tech1,Low,Hyderabad,2025-07-15 19:07:11,KB-2044
INC100149,2025-08-12 00:46:25,VPN disconnects frequently,VPN disconnects frequently. Happening for multiple users.,Moderate,Security,High,Cancelled,,2025-08-12 02:46:25,alice,Security,tech1,Low,Bengaluru,2025-08-12 04:46:25,KB-2044
INC100150,2025-07-08 12:11:54,Laptop won't boot,Laptop won't boot. No recent changes reported.,High,Hardware,Medium,Resolved,2025-07-11 02:11:54,,grace,Service Desk,,Low,Remote,2025-07-09 12:11:54,
INC100151,2025-07-21 23:33:50,Password reset required,Password reset required. Related to recent configuration change.,Critical,Other,Low,In Progress,,,charlie,Network,tech1,Low,Gurugram,2025-07-22 23:33:50,KB-3102
INC100152,2025-07-21 01:00:13,High CPU on server,High CPU on server. Possible DNS resolution issue.,Low,Access,High,In Progress,,,bob,Service Desk,,Medium,Pune,2025-07-23 01:00:13,
INC100153,2025-07-31 04:08:02,API rate limit exceeded,API rate limit exceeded. Occurs intermittently. Related to recent configuration change.,Critical,Software,High,Open,,,alice,Network,tech1,Low,Gurugram,2025-08-02 04:08:02,KB-3102
INC100154,2025-07-10 07:47:47,Slow application performance,Slow application performance. Issue persists after reboot. Logs attached for review.,Low,Network,Medium,Closed,2025-07-13 08:47:47,2025-07-15 03:47:47,charlie,Security,,Medium,Bengaluru,2025-07-10 15:47:47,
INC100155,2025-08-17 13:59:10,S3 access denied,S3 access denied. Started after latest patch. Related to recent configuration change. Requested escalation to L3.,Low,Security,Medium,In Progress,,,alice,Service Desk,tech3,High,Chennai,2025-08-18 13:59:10,
INC100156,2025-08-14 09:30:15,S3 access denied,S3 access denied. User located in remote site. Tried clearing cache and cookies.,Moderate,Network,Medium,Open,,,frank,Applications,tech3,Medium,Bengaluru,2025-08-16 09:30:15,KB-1001
INC100157,2025-08-14 13:11:16,Access denied to shared drive,Access denied to shared drive. Blocking deployment to production. Impacts finance team deadlines.,Moderate,Other,Low,Open,,,frank,Systems,,High,Chennai,2025-08-15 13:11:16,KB-4520
INC100158,2025-07-25 12:52:55,Service outage reported,Service outage reported. Related to recent configuration change. Compliance risk if not resolved quickly. Occurs intermittently.,Low,Hardware,High,Open,,,alice,Service Desk,tech2,Low,Chennai,2025-07-26 12:52:55,KB-4520
INC100159,2025-07-08 15:55:32,Phone system down,Phone system down. Customer-facing impact reported. Impacts finance team deadlines. No recent changes reported.,High,Hardware,Medium,Resolved,2025-07-11 15:55:32,,charlie,Systems,tech2,Medium,Pune,2025-07-08 23:55:32,KB-1001
INC100160,2025-07-16 04:21:30,Blue screen error,Blue screen error. User located in remote site. Logs attached for review. Happens on Windows and macOS.,Moderate,Access,Medium,Resolved,2025-07-18 03:21:30,,bob,Network,tech2,High,Pune,2025-07-17 04:21:30,
INC100161,2025-07-26 12:09:05,Access denied to shared drive,Access denied to shared drive. Requires admin privileges to fix. Logs attached for review.,Low,Network,Medium,In Progress,,,harry,Systems,tech1,Medium,Hyderabad,2025-07-27 12:09:05,KB-4520
INC100162,2025-08-05 00:29:44,Password reset required,Password reset required. Logs attached for review. Customer-facing impact reported. Issue persists after reboot.,Low,Network,Medium,Resolved,2025-08-07 03:29:44,,harry,Network,tech3,Medium,Remote,2025-08-05 04:29:44,KB-4520
INC100163,2025-08-09 17:37:24,High CPU on server,High CPU on server. Impacts finance team deadlines. Started after latest patch.,Moderate,Software,Medium,In Progress,,,harry,Applications,tech3,Low,Pune,2025-08-11 17:37:24,
INC100164,2025-07-09 20:22:56,Password reset required,Password reset required. Requested escalation to L3.,Low,Security,Medium,On Hold,,,charlie,Applications,,Low,Remote,2025-07-11 20:22:56,KB-3102
INC100165,2025-08-15 17:13:27,Service outage reported,Service outage reported. Tried clearing cache and cookies. Happens on Windows and macOS. Requested escalation to L3.,Moderate,Network,High,Open,,,grace,Security,tech4,Low,Gurugram,2025-08-16 01:13:27,KB-3102
INC100166,2025-07-09 06:09:55,Account locked after attempts,Account locked after attempts. Requires admin privileges to fix. Happens on Windows and macOS.,Moderate,Hardware,Medium,Open,,,diana,Applications,tech3,Medium,Pune,2025-07-09 10:09:55,KB-4520
INC100167,2025-08-12 02:43:54,Laptop won't boot,Laptop won't boot. Occurs intermittently. Customer-facing impact reported.,Moderate,Network,Medium,Open,,,diana,Applications,tech1,Low,Bengaluru,2025-08-13 02:43:54,
INC100168,2025-07-28 18:18:14,Malware alert flagged,Malware alert flagged. Logs attached for review.,Low,Access,Medium,Resolved,2025-07-29 18:18:14,,harry,Applications,tech3,Medium,Chennai,2025-07-29 02:18:14,KB-2044
INC100169,2025-07-21 13:50:34,Slow application performance,Slow application performance. Requires admin privileges to fix. Logs attached for review.,Low,Hardware,Low,On Hold,,,harry,Service Desk,tech2,Low,Pune,2025-07-22 13:50:34,
INC100170,2025-07-26 22:20:43,SAML login failing,SAML login failing. Possible DNS resolution issue.,Moderate,Network,Medium,In Progress,,,bob,Network,tech2,High,Bengaluru,2025-07-27 22:20:43,KB-1001
INC100171,2025-07-16 22:48:36,Phone system down,Phone system down. Compliance risk if not resolved quickly. Customer-facing impact reported.,Moderate,Access,High,In Progress,,,harry,Applications,tech1,Low,Bengaluru,2025-07-18 22:48:36,KB-3102
INC100172,2025-07-14 21:00:18,Laptop won't boot,Laptop won't boot. Blocking deployment to production. Logs attached for review.,High,Security,Low,Open,,,grace,Applications,tech4,Low,Pune,2025-07-16 21:00:18,KB-4520
INC100173,2025-07-28 05:47:32,S3 access denied,S3 access denied. Possible DNS resolution issue.,Moderate,Software,Medium,Open,,,alice,Systems,tech1,Low,Hyderabad,2025-07-28 13:47:32,KB-4520
INC100174,2025-08-04 12:34:41,Password reset required,Password reset required. No recent changes reported. Requested escalation to L3.,Moderate,Security,Low,On Hold,,,alice,Security,tech4,High,Pune,2025-08-04 16:34:41,KB-2044
INC100175,2025-07-22 12:24:13,Outlook crashes on launch,Outlook crashes on launch. Tried clearing cache and cookies.,Low,Network,High,In Progress,,,diana,Applications,tech2,Low,Gurugram,2025-07-24 12:24:13,KB-2044
INC100176,2025-08-06 23:24:57,Two-factor authentication issue,Two-factor authentication issue. No recent changes reported. Customer-facing impact reported. Requires admin privileges to fix.,High,Software,Medium,Resolved,2025-08-08 20:24:57,,eve,Systems,tech4,Medium,Gurugram,2025-08-07 03:24:57,KB-2044
INC100177,2025-08-13 11:28:14,Blue screen error,Blue screen error. Requires admin privileges to fix.,Low,Network,Low,Closed,2025-08-14 04:28:14,2025-08-16 01:28:14,diana,Security,tech3,High,Gurugram,2025-08-14 11:28:14,KB-4520
INC100178,2025-07-26 06:39:18,High CPU on server,High CPU on server. Happens on Windows and macOS. User located in remote site.,Moderate,Hardware,Medium,In Progress,,,frank,Applications,,Low,Chennai,2025-07-28 06:39:18,KB-3102
INC100179,2025-08-18 07:59:36,Two-factor authentication issue,Two-factor authentication issue. Possible DNS resolution issue. Requires admin privileges to fix.,Critical,Software,Medium,Closed,2025-08-22 17:59:36,2025-08-23 07:59:36,charlie,Applications,tech3,Medium,Remote,2025-08-18 11:59:36,KB-1001
INC100180,2025-07-12 21:33:38,Outlook crashes on launch,Outlook crashes on launch. Issue persists after reboot. Compliance risk if not resolved quickly.,Moderate,Hardware,Low,Open,,,diana,Network,tech2,High,Hyderabad,2025-07-13 01:33:38,KB-3102
INC100181,2025-07-20 05:16:20,API rate limit exceeded,API rate limit exceeded. Tried clearing cache and cookies. Compliance risk if not resolved quickly.,Critical,Other,Medium,Open,,,bob,Service Desk,,High,Pune,2025-07-20 09:16:20,KB-2044
INC100182,2025-08-05 21:14:04,Jira webhook failing,Jira webhook failing. Compliance risk if not resolved quickly.,High,Hardware,Medium,Open,,,charlie,Security,,High,Pune,2025-08-06 01:14:04,KB-1001
INC100183,2025-07-13 01:47:10,API rate limit exceeded,API rate limit exceeded. Blocking deployment to production. Started after latest patch. Issue persists after reboot.,High,Software,Low,In Progress,,,charlie,Security,tech2,Low,Bengaluru,2025-07-13 09:47:10,KB-4520
INC100184,2025-08-06 23:19:42,Kubernetes pod restart loop,Kubernetes pod restart loop. Requested escalation to L3. Compliance risk if not resolved quickly.,Moderate,Hardware,Low,Closed,2025-08-07 17:19:42,2025-08-08 01:19:42,frank,Network,tech1,Medium,Remote,2025-08-07 03:19:42,KB-2044
INC100185,2025-08-03 22:18:05,Printer offline,Printer offline. Related to recent configuration change. Logs attached for review. Impacts finance team deadlines.,Moderate,Network,Low,Resolved,2025-08-04 02:18:05,,eve,Service Desk,tech1,Medium,Pune,2025-08-04 02:18:05,KB-2044
INC100186,2025-08-01 07:36:13,Malware alert flagged,Malware alert flagged. Compliance risk if not resolved quickly. Requested escalation to L3. Customer-facing impact reported.,Moderate,Hardware,High,Cancelled,,2025-08-01 18:36:13,harry,Service Desk,,Low,Chennai,2025-08-01 11:36:13,KB-3102
INC100187,2025-07-18 12:54:23,Build pipeline failing,Build pipeline failing. Compliance risk if not resolved quickly. Impacts finance team deadlines.,Critical,Access,High,On Hold,,,bob,Applications,tech4,Low,Bengaluru,2025-07-19 12:54:23,KB-1001
INC100188,2025-07-23 02:36:55,Phone system down,Phone system down. Started after latest patch. Possible DNS resolution issue. Compliance risk if not resolved quickly.,Critical,Software,Low,On Hold,,,diana,Service Desk,tech1,High,Pune,2025-07-23 06:36:55,KB-4520
INC100189,2025-08-06 18:55:30,Laptop won't boot,Laptop won't boot. Blocking deployment to production. Issue persists after reboot. Customer-facing impact reported.,Moderate,Other,Medium,Resolved,2025-08-07 17:55:30,,harry,Systems,tech4,Low,Remote,2025-08-07 18:55:30,KB-2044
INC100190,2025-07-26 02:48:25,Network latency in office,Network latency in office. Happens only on corporate network. Related to recent configuration change.,High,Network,Low,Resolved,2025-07-26 18:48:25,,bob,Systems,tech4,Low,Chennai,2025-07-28 02:48:25,KB-4520
INC100191,2025-08-01 20:39:06,Two-factor authentication issue,Two-factor authentication issue. Occurs intermittently.,Moderate,Security,Medium,Open,,,diana,Applications,,High,Chennai,2025-08-02 04:39:06,KB-1001
INC100192,2025-07-30 23:11:36,S3 access denied,S3 access denied. Compliance risk if not resolved quickly. Tried clearing cache and cookies. Requires admin privileges to fix.,Moderate,Software,Low,Closed,2025-08-04 13:11:36,2025-08-04 16:11:36,diana,Security,tech2,Medium,Chennai,2025-07-31 23:11:36,KB-1001
INC100193,2025-08-01 10:28:04,Email not syncing,Email not syncing. Possible DNS resolution issue. No recent changes reported.,Moderate,Software,High,Resolved,2025-08-01 16:28:04,,frank,Service Desk,tech4,Medium,Chennai,2025-08-02 10:28:04,KB-2044
INC100194,2025-07-22 05:16:50,Phone system down,Phone system down. Logs attached for review. Tried clearing cache and cookies.,Moderate,Security,Medium,Open,,,charlie,Service Desk,tech3,High,Bengaluru,2025-07-23 05:16:50,KB-1001
INC100195,2025-07-24 07:52:16,Database connection timeout,Database connection timeout. Compliance risk if not resolved quickly.,Critical,Other,Medium,Resolved,2025-07-24 21:52:16,,harry,Service Desk,tech1,Low,Hyderabad,2025-07-24 11:52:16,KB-1001
INC100196,2025-08-21 18:54:36,Kubernetes pod restart loop,Kubernetes pod restart loop. Occurs intermittently.,High,Access,Low,Resolved,2025-08-23 18:54:36,,charlie,Security,,Low,Gurugram,2025-08-21 22:54:36,KB-4520
INC100197,2025-08-09 05:21:03,Network latency in office,Network latency in office. Happens only on corporate network. Tried clearing cache and cookies.,Low,Network,Medium,Closed,2025-08-14 04:21:03,2025-08-15 06:21:03,bob,Network,tech1,Low,Chennai,2025-08-09 13:21:03,KB-1001
INC100198,2025-07-16 01:03:30,Outlook crashes on launch,Outlook crashes on launch. Happens on Windows and macOS. Happens only on corporate network.,Moderate,Hardware,Medium,On Hold,,,bob,Service Desk,tech1,Low,Hyderabad,2025-07-16 05:03:30,KB-2044
INC100199,2025-08-17 15:28:14,Malware alert flagged,Malware alert flagged. Happening for multiple users. Possible DNS resolution issue. Happens only on corporate network.,Low,Other,High,Open,,,charlie,Service Desk,tech3,Medium,Gurugram,2025-08-17 23:28:14,KB-1001
INC100200,2025-07-30 11:52:01,Access denied to shared drive,Access denied to shared drive. Impacts finance team deadlines.,High,Hardware,Low,Open,,,frank,Service Desk,tech4,Low,Hyderabad,2025-07-30 15:52:01,KB-1001
